zip,subregion,climate_zone,lat,lon,station_id,station_city
33540,FRCC,2A,28.234,-82.176,722510TY,"TAMPA INTERNATIONAL AP, FL"
55303,MROW,6A,45.224,-93.387,726575TY,"MINNEAPOLIS-ST PAUL INTL AP, MN"
80921,RMPA,5B,38.962,-104.760,724660TY,"COLORADO SPRINGS MUNI AP, CO"
29203,SRSO,3A,34.067,-80.999,723100TY,"COLUMBIA METROPOLITAN AP, SC"
08360,RFCE,4A,39.479,-75.024,724075TY,"MILLVILLE MUNI AP, NJ"
30301,SRSO,3A,33.749,-84.388,722190TY,"ATLANTA HARTSFIELD INTL AP, GA"
85001,AZNM,2B,33.448,-112.074,722780TY,"PHOENIX SKY HARBOR INTL AP, AZ"
94601,CAMX,3C,37.776,-122.224,724930TY,"OAKLAND METROPOLITAN AP, CA"
75201,ERCT,3A,32.781,-96.797,722590TY,"DALLAS-FORT WORTH INTL AP, TX"
10001,NYCW,4A,40.750,-73.997,725030TY,"NEW YORK LAGUARDIA AP, NY"
